,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
DIF_MACD(日)連續三期(1d)向上趨勢,0.20828258221680876,1751.0,0.0,0.0,0.0,0.0,0.0
DIF_MACD(日)連續三期(1d)向下趨勢,0.20943918762981772,1865.0,0.0,0.0,1.0,1.0,1.0
"交叉向上(RSI(日,5),RSI(日,10))",0.19070010449320793,1134.0,0.0,0.0,0.0,0.0,0.0
交叉向上_Kd(日),0.17545638945233266,931.0,0.0,0.0,0.0,0.0,0.0
"交叉向下(RSI(日,5),RSI(日,10))",0.18971332209106237,1181.0,0.0,0.0,0.0,1.0,0.0
交叉向下_Kd(日),0.19902912621359226,986.0,0.0,0.0,0.0,0.0,0.0
DIF_MACD(週)連續三期(5d)向下趨勢,0.1682808716707022,731.0,1.0,0.0,0.0,0.0,0.0
DIF_MACD(週)連續三期(5d)向上趨勢,0.19188293760353398,604.0,0.0,0.0,0.0,0.0,0.0
"交叉向下(RSI(週,5),RSI(週,10))",0.14153668399768918,564.0,0.0,0.0,0.0,0.0,0.0
"交叉向上(RSI(週,5),RSI(週,10))",0.13780707010185742,533.0,0.0,0.0,0.0,0.0,0.0
subindex_signal,0.23613266097750193,10280.0,1.0,0.0,1.0,2.0,1.0
subindex_signal_binary,0.22261989978525412,3191.0,0.0,0.0,0.0,1.0,0.0
