,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
"百分位(PE,5yr)<=0.05",0.39697108765488753,788.0,0.0,0.0,0.0,0.0,0.0
"百分位(PE,3yr)<0.05_且_PE<20",0.42401628222523746,804.0,0.0,0.0,0.0,0.0,0.0
"百分位(PE,3yr)<0.05",0.41946308724832215,816.0,0.0,0.0,0.0,0.0,0.0
PE<13,0.4328667703473302,663.0,0.0,0.0,0.0,0.0,0.0
總市值/M1B<1.6,0.2543068088597211,308.0,0.0,0.0,0.0,0.0,0.0
PB<1.5,0.22498519834221434,543.0,0.0,0.0,0.0,0.0,0.0
"百分位(PB,5yr)<=0.2",0.2412911473314158,1263.0,0.0,0.0,0.0,0.0,0.0
"百分位(PB,3yr)<0.2",0.34719947592531936,1225.0,0.0,0.0,0.0,0.0,0.0
總市值/M2<0.55,0.206992706992707,864.0,0.0,0.0,0.0,0.0,0.0
總市值/月營收<0.9,0.09824046920821115,551.0,0.0,0.0,0.0,0.0,0.0
subindex_valuation,0.11475409836065574,7825.0,0.0,0.0,0.0,0.0,0.0
subindex_valuation_binary,0.3434143583945732,583.0,0.0,0.0,0.0,0.0,0.0
