,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
Kd(季)_D>77,0.24462061155152862,792.0,1.0,1.0,1.0,1.0,1.0
領先指標>103,0.20035196967645852,1535.0,1.0,1.0,1.0,1.0,1.0
景氣燈號(黃紅燈+紅燈),0.296685850367136,948.0,1.0,1.0,1.0,1.0,1.0
M1B_YoY>10,0.3017850263259277,1635.0,0.0,0.0,0.0,0.0,0.0
景氣燈號(黃紅燈+紅燈+綠燈),0.3001230902903482,3141.0,1.0,1.0,1.0,1.0,1.0
CLI_G20>101,0.14128120766402158,980.0,0.0,0.0,0.0,0.0,0.0
Kd(月)_D>80,0.2065774252189719,1201.0,1.0,1.0,1.0,1.0,1.0
"RSI(季,10)_D>80",0.27641521940872316,1574.0,1.0,1.0,1.0,1.0,1.0
"RSI(月,10)_D>80",0.08714596949891049,262.0,0.0,0.0,0.0,0.0,1.0
Kd(週)_D>80,0.23355781630606087,1433.0,0.0,0.0,0.0,0.0,1.0
subindex_status,0.23665659617321227,13501.0,6.0,6.0,6.0,6.0,8.0
subindex_status_binary,0.28173749327595465,1547.0,1.0,1.0,1.0,1.0,1.0
